# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0+BSN        BSN    N_tr    B2      B4
# 
2 2 2 6.35353516e+02 6.35353516e+02 6.35353516e+02 1.89273100e+06 8.69601641e+04 2.70000000e+03 2.00235350e+06 -4.91623950e+06
4 2 2 3.98782349e+02 6.35353516e+02 6.35353516e+02 8.05004312e+05 7.64137500e+04 4.11800000e+03 -2.85069000e+05 1.83523828e+05
4 4 2 3.98782349e+02 3.98782349e+02 6.35353516e+02 4.61357219e+05 6.58673359e+04 1.57200000e+04 -7.50641000e+05 -6.29749250e+05
4 4 4 3.98782349e+02 3.98782349e+02 3.98782349e+02 6.70771625e+05 5.53209258e+04 3.95040000e+04 2.36037625e+05 5.28739688e+05
6 4 2 3.13019745e+02 3.98782349e+02 6.35353516e+02 6.99996688e+05 6.20440156e+04 1.32320000e+04 9.24679812e+05 3.18117812e+05
6 4 4 3.13019745e+02 3.98782349e+02 3.98782349e+02 4.27010375e+05 5.14976016e+04 5.68460039e+04 2.74095344e+05 6.97976062e+05
6 6 2 3.13019745e+02 3.13019745e+02 6.35353516e+02 5.20787594e+05 5.82206914e+04 3.50560000e+04 5.41361375e+05 8.49221250e+05
6 6 4 3.13019745e+02 3.13019745e+02 3.98782349e+02 3.89050906e+05 4.76742773e+04 8.71920000e+04 1.10512750e+05 1.80455828e+05
6 6 6 3.13019745e+02 3.13019745e+02 3.13019745e+02 1.57721688e+05 4.38509531e+04 1.29864000e+05 -4.27598516e+04 1.54034938e+05
8 4 4 2.20283844e+02 3.98782349e+02 3.98782349e+02 3.39969906e+05 4.73634062e+04 3.81180000e+04 2.75424750e+05 -1.27737430e+05
8 6 2 2.20283844e+02 3.13019745e+02 6.35353516e+02 3.93538562e+05 5.40864961e+04 2.64440000e+04 1.46185281e+05 5.75736438e+05
8 6 4 2.20283844e+02 3.13019745e+02 3.98782349e+02 1.71354953e+05 4.35400820e+04 1.15550000e+05 8.84564062e+04 1.46385437e+03
8 6 6 2.20283844e+02 3.13019745e+02 3.13019745e+02 2.06669359e+05 3.97167578e+04 1.76496000e+05 1.17468938e+05 6.03549023e+04
8 8 2 2.20283844e+02 2.20283844e+02 6.35353516e+02 4.14891156e+05 4.99523008e+04 6.49920000e+04 5.03196406e+05 1.36904328e+05
8 8 4 2.20283844e+02 2.20283844e+02 3.98782349e+02 2.56002781e+05 3.94058867e+04 1.61160000e+05 -7.64610840e+03 -4.10846130e+02
8 8 6 2.20283844e+02 2.20283844e+02 3.13019745e+02 1.33399641e+05 3.55825625e+04 2.40888016e+05 1.66533672e+04 -2.23465762e+04
8 8 8 2.20283844e+02 2.20283844e+02 2.20283844e+02 1.33681562e+05 3.14483691e+04 3.27696000e+05 3.16676113e+04 2.29655020e+04
10 6 4 1.90377258e+02 3.13019745e+02 3.98782349e+02 3.05845469e+05 4.22068359e+04 6.96140000e+04 3.33943250e+05 4.68769031e+05
10 6 6 1.90377258e+02 3.13019745e+02 3.13019745e+02 2.46632016e+05 3.83835156e+04 2.15678000e+05 9.67407266e+04 -3.32489258e+04
10 8 2 1.90377258e+02 2.20283844e+02 6.35353516e+02 3.35792406e+05 4.86190547e+04 4.46600000e+04 2.99385656e+05 1.57778484e+05
10 8 4 1.90377258e+02 2.20283844e+02 3.98782349e+02 1.71610734e+05 3.80726406e+04 1.97573984e+05 -6.36749023e+03 -8.99872812e+04
