# k     avgk     P0+PSN      P2      P4     Nmodes    PSN
# 
1.25663709e-02 1.38245868e-02 6.79935181e+02 2.80335205e+02 -6.02288330e+02 43 4.45803070e+01
2.51327418e-02 2.52615847e-02 4.43363586e+02 1.35586212e+02 6.78457260e+01 196 4.45803070e+01
3.76991108e-02 3.76238637e-02 3.57600800e+02 2.15214691e+02 9.24319611e+01 440 4.45803070e+01
5.02654836e-02 5.01767173e-02 2.64864685e+02 5.66451836e+01 -9.37437820e+00 802 4.45803070e+01
6.28318563e-02 6.28425553e-02 2.34958038e+02 8.83986816e+01 -4.58122253e+00 1264 4.45803070e+01
7.53982216e-02 7.54244402e-02 2.01046539e+02 6.64692764e+01 1.19486322e+01 1798 4.45803070e+01
8.79645944e-02 8.79461914e-02 1.76051666e+02 7.62885971e+01 3.77564812e+01 2452 4.45803070e+01
1.00530967e-01 1.00456141e-01 1.48783371e+02 4.35228462e+01 1.09757614e+01 3190 4.45803070e+01
1.13097332e-01 1.13089472e-01 1.32968048e+02 4.03261948e+01 1.30831537e+01 4124 4.45803070e+01
1.25663713e-01 1.25713468e-01 1.23223366e+02 4.03894310e+01 1.10320902e+00 5008 4.45803070e+01
1.38230070e-01 1.38223410e-01 1.16270821e+02 2.85937767e+01 3.64297301e-01 6046 4.45803070e+01
1.50796443e-01 1.50727659e-01 1.06611450e+02 2.82315216e+01 8.47002089e-01 7192 4.45803070e+01
1.63362816e-01 1.63311139e-01 9.54305649e+01 2.70722332e+01 3.40011787e+00 8542 4.45803070e+01
1.75929189e-01 1.75877005e-01 9.36334305e+01 2.66641026e+01 6.73714495e+00 9792 4.45803070e+01
1.88495561e-01 1.88389719e-01 8.80570068e+01 2.23969975e+01 3.42193151e+00 11252 4.45803070e+01
2.01061934e-01 2.00982451e-01 8.43696442e+01 2.21341457e+01 2.39427423e+00 12938 4.45803070e+01
2.13628307e-01 2.13612169e-01 7.97206268e+01 2.05442371e+01 2.40505552e+00 14572 4.45803070e+01
2.26194665e-01 2.26198092e-01 7.63240204e+01 2.15856476e+01 3.29791260e+00 16282 4.45803070e+01
2.38761038e-01 2.38748908e-01 7.45984726e+01 1.84109993e+01 4.27318144e+00 18096 4.45803070e+01
2.51327425e-01 2.51274824e-01 7.14476089e+01 1.79586906e+01 -2.47304901e-01 20024 4.45803070e+01
2.63893783e-01 2.63837010e-01 6.99835281e+01 1.62910500e+01 2.61990571e+00 22198 4.45803070e+01
2.76460141e-01 2.76449203e-01 6.77170944e+01 1.48997746e+01 2.14904174e-01 24448 4.45803070e+01
2.89026529e-01 2.89007753e-01 6.69425125e+01 1.45562830e+01 3.30996633e+00 26426 4.45803070e+01
3.01592886e-01 3.01542461e-01 6.47009354e+01 1.39399204e+01 2.32153058e+00 28960 4.45803070e+01
3.14159274e-01 3.14115047e-01 6.37418518e+01 1.25023441e+01 2.68758011e+00 31402 4.45803070e+01
3.26725632e-01 3.26697022e-01 6.19719467e+01 1.19923220e+01 2.81188750e+00 34072 4.45803070e+01
3.39292020e-01 3.39259654e-01 6.07443962e+01 1.24037905e+01 8.14687312e-01 36496 4.45803070e+01
3.51858377e-01 3.51824045e-01 5.97014923e+01 1.11073408e+01 2.37106276e+00 39514 4.45803070e+01
3.64424735e-01 3.64410698e-01 5.85706253e+01 1.05669584e+01 1.66735172e+00 42284 4.45803070e+01
3.76991123e-01 3.76989901e-01 5.73864021e+01 9.77897167e+00 3.08209300e+00 45298 4.45803070e+01
3.89557481e-01 3.89531046e-01 5.64629250e+01 9.50393486e+00 2.57873344e+00 48052 4.45803070e+01
4.02123868e-01 4.02062654e-01 5.59512520e+01 9.35450459e+00 1.96807897e+00 51424 4.45803070e+01
4.14690226e-01 4.14636582e-01 5.53938141e+01 7.82528210e+00 3.22658610e+00 54814 4.45803070e+01
4.27256614e-01 4.27239060e-01 5.44959106e+01 8.33080387e+00 1.13136923e+00 58312 4.45803070e+01
4.39822972e-01 4.39808846e-01 5.42393951e+01 8.61950016e+00 2.06150556e+00 61402 4.45803070e+01
4.52389330e-01 4.52329338e-01 5.30333786e+01 6.69531488e+00 -7.45195866e-01 64584 4.45803070e+01
